Company Name|Stock Name|Filing Time|New Product|Product Description
MICRON TECHNOLOGY INC|MU|2025-03-20 00:00:00+00:00|1-gamma DRAM node|Micron Technology announced the launch of their 1-gamma DRAM node, extending their technology leadership. They expect record revenue in fiscal Q3 and significant growth in both dat
CrowdStrike Holdings, Inc.|CRWD|2025-03-04 00:00:00+00:00|Charlotte AI Detection Triage|A major breakthrough in agentic AI-driven security operations.
Arista Networks, Inc.|ANET|2025-02-18 00:00:00+00:00|Arista Launched Wi-Fi 7 Access Points|The Arista C-460 is designed to help enterprises address the challenges of rapidly increasing bandwidth requirements, including AR/VR applications, streaming multimedia, IoT prolif
Medtronic plc|MDT|2025-02-18 00:00:00+00:00|Inceptiv™ spinal cord stimulator|Continued launch driving low-double digit Pain Stim growth, including high-teens U.S. growth.
GILEAD SCIENCES, INC.|GILD|2025-02-11 00:00:00+00:00|lenacapavir|Potential launch for HIV PrEP in Summer 2025, extending the reach of HIV prevention.
VERTEX PHARMACEUTICALS INC / MA|VRTX|2025-02-10 00:00:00+00:00|CASGEVY and JOURNAVX|CASGEVY is the Company's first cell and gene therapy, and JOURNAVX is a non-opioid pain signal inhibitor, the first new class of pain medicine approved in over twenty years.
AMAZON COM INC|AMZN|2025-02-06 00:00:00+00:00|Amazon Haul|Launched Amazon Haul, a new shopping experience in Amazon's U.S. shopping app and mobile site, with ultra-low prices.
ELI LILLY & Co|LLY|2025-02-06 00:00:00+00:00|Kisunla and Ebglyss|Lilly launched Kisunla and Ebglyss as important drivers of their long-term balanced growth outlook.
BRISTOL MYERS SQUIBB CO|BMY|2025-02-06 00:00:00+00:00|Cobenfy|U.S. Launch of Cobenfy, expanding strategic productivity initiative with additional cost savings and providing 2025 revenue guidance.
BOSTON SCIENTIFIC CORP|BSX|2025-02-05 00:00:00+00:00|FARAPULSE™ Pulsed Field Ablation System|Boston Scientific launched the FARAPULSE™ Pulsed Field Ablation System in 2024, contributing to a successful year with significant clinical achievements and commercial excellence.
Walt Disney Co|DIS|2025-02-05 00:00:00+00:00|Disney Treasure|Launch of the Disney Treasure impacting segment operating income in Q1 fiscal 2025.
Merck & Co., Inc.|MRK|2025-02-04 00:00:00+00:00|WINREVAIR|Successful launch of WINREVAIR contributing to strong growth in 2024, part of Merck's innovative portfolio.
REGENERON PHARMACEUTICALS, INC.|REGN|2025-02-04 00:00:00+00:00|EYLEA HD|A new product launch by the Company, leading to increased commercialization-related expenses and international expansion efforts.
ADVANCED MICRO DEVICES INC|AMD|2025-02-04 00:00:00+00:00|AMD Instinct MI300X|AMD Instinct MI300X accelerators launched in IBM Cloud for AI and HPC workloads, expanding AMD's presence in high-performance computing.
THERMO FISHER SCIENTIFIC INC.|TMO|2025-01-30 00:00:00+00:00|Thermo Scientific™ Iliad™ (Scanning) Transmission Electron Microscope, Thermo Scientific™ Stellar™ mass spectrometer, Thermo Scientific™ Dionex™ Inuvion™ Ion Chromatography system, Applied Biosystems™ MagMAX™ Sequential DNA/RNA kit, Thermo Scientific™ iCAP™ MX Series ICP-MS, Gibco™ CTS™ Detachable Dynabeads™|The company launched a range of high-impact, innovative new products in 2024, including cutting-edge microscopy, mass spectrometry, chromatography systems, DNA/RNA kits, and platfo
Blackstone Inc.|BX|2025-01-30 00:00:00+00:00|Blackstone Infrastructure Strategies (BXINFRA)|Launched on January 2, a continuously offered infrastructure strategy that raised over $1.0 billion.
INTEL CORP|INTC|2025-01-30 00:00:00+00:00|Panther Lake|Intel expects to launch Panther Lake, its lead product on the Intel 18A process technology, in the second half of 2025.
INTERNATIONAL BUSINESS MACHINES CORP|IBM|2025-01-30 00:00:00+00:00|z17|IBM will launch z17 in the middle of 2025 as part of their infrastructure solutions, enabling clients to bring AI workloads closer to their data.
Apple Inc.|AAPL|2025-01-30 00:00:00+00:00|Apple Intelligence|Apple announced the expansion of Apple Intelligence, enhancing apps and experiences, with availability in more languages starting in April.
ALTRIA GROUP, INC.|MO|2025-01-30 00:00:00+00:00|SWIC|Our heated tobacco capsule product launched via e-commerce in a small-scale test in Great Britain.
Tesla, Inc.|TSLA|2025-01-29 00:00:00+00:00|New Model Y|The New Model Y has been launched in all markets, enhancing Tesla's vehicle lineup and contributing to expected strong sales in 2024.
JOHNSON & JOHNSON|JNJ|2025-01-22 00:00:00+00:00|MENTOR MemoryGel Enhance Breast Implant|Receives FDA Approval for Largest Size Breast Implants for Reconstruction
JOHNSON & JOHNSON|JNJ|2025-01-22 00:00:00+00:00|MENTOR MemoryGel Enhance Breast Implant|Receives FDA Approval for Largest Size Breast Implants for Reconstruction
ELI LILLY & Co|LLY|2025-01-14 00:00:00+00:00|imlunestrant|Potential launch of imlunestrant for metastatic breast cancer mentioned in the SEC filing.
REGENERON PHARMACEUTICALS, INC.|REGN|2025-01-13 00:00:00+00:00|EYLEA HD pre-filled syringe|EYLEA HD pre-filled syringe submission completed; launch expected by mid-2025.
BRISTOL MYERS SQUIBB CO|BMY|2025-01-13 00:00:00+00:00|Cobenfy|Launch off to a strong start with the first indication for schizophrenia.
Walt Disney Co|DIS|2025-01-06 00:00:00+00:00|Venu Sports|The launch of Venu Sports could be delayed or prevented due to legal challenges from regulators or third parties.
NVIDIA CORP|NVDA|2024-11-20 00:00:00+00:00|NVIDIA AI Aerial|Introduced the NVIDIA AI Aerial platform for telecommunications providers and began working with T-Mobile, Ericsson, and Nokia to accelerate the commercialization of AI-RAN.
Medtronic plc|MDT|2024-11-19 00:00:00+00:00|Affera™ Mapping and Ablation System|Ramping commercial availability of the Affera™ Mapping and Ablation System following FDA approval in late October.
GILEAD SCIENCES, INC.|GILD|2024-11-06 00:00:00+00:00|Lenacapavir|Gilead is preparing for the potential launch of the first twice-yearly option for HIV prevention with lenacapavir.
MCKESSON CORP|MCK|2024-11-06 00:00:00+00:00|InspiroGene|McKesson launched InspiroGene, a dedicated business focused on supporting the commercialization of cell and gene therapies.
REGENERON PHARMACEUTICALS, INC.|REGN|2024-10-31 00:00:00+00:00|EYLEA HD|The company launched EYLEA HD in the third quarter of 2024, leading to increased commercialization-related expenses and supporting international commercial expansion.
Apple Inc.|AAPL|2024-10-31 00:00:00+00:00|iPhone 16, Apple Watch Series 10, AirPods 4, Apple Intelligence|Apple announced its best products yet, including the all-new iPhone 16 lineup, Apple Watch Series 10, AirPods 4, and features for hearing health and sleep apnea detection. They als
Merck & Co., Inc.|MRK|2024-10-31 00:00:00+00:00|WINREVAIR|U.S. Launch of WINREVAIR gaining momentum; received approval in the EU.
AMAZON COM INC|AMZN|2024-10-31 00:00:00+00:00|Kindle|Amazon launched an all-new Kindle lineup that is significantly outperforming expectations, part of their holiday season offerings.
COMCAST CORP|CMCSA|2024-10-31 00:00:00+00:00|Despicable Me 4|The universally acclaimed movie grossed nearly $1.0 billion in worldwide box office.
ALTRIA GROUP, INC.|MO|2024-10-31 00:00:00+00:00|Optimize & Accelerate|Initiative designed to modernize processes to accelerate progress toward their Vision, reaffirming guidance for 2024 full-year adjusted EPS growth.
